country,latitude,longitude,date,cases,deaths,recovered,active,who_region,mortality_rate,recovery_rate,days_since_start
China,31.8257,117.2264,2020-01-22,1,0,0,1,Western Pacific,0.0,0.0,0
China,40.1824,116.4142,2020-01-22,14,0,0,14,Western Pacific,0.0,0.0,0
China,30.0572,107.874,2020-01-22,6,0,0,6,Western Pacific,0.0,0.0,0
China,26.0789,117.9874,2020-01-22,1,0,0,1,Western Pacific,0.0,0.0,0
China,23.3417,113.4244,2020-01-22,26,0,0,26,Western Pacific,0.0,0.0,0
China,23.8298,108.7881,2020-01-22,2,0,0,2,Western Pacific,0.0,0.0,0
China,26.8154,106.8748,2020-01-22,1,0,0,1,Western Pacific,0.0,0.0,0
China,19.1959,109.7453,2020-01-22,4,0,0,4,Western Pacific,0.0,0.0,0
China,39.549,116.1306,2020-01-22,1,0,0,1,Western Pacific,0.0,0.0,0
China,37.8957,114.9042,2020-01-22,5,0,0,5,Western Pacific,0.0,0.0,0
China,30.9756,112.2707,2020-01-22,444,17,28,399,Western Pacific,3.8288288288288284,6.306306306306306,0
China,27.6104,111.7088,2020-01-22,4,0,0,4,Western Pacific,0.0,0.0,0
China,32.9711,119.455,2020-01-22,1,0,0,1,Western Pacific,0.0,0.0,0
China,27.614,115.7221,2020-01-22,2,0,0,2,Western Pacific,0.0,0.0,0
China,41.2956,122.6085,2020-01-22,2,0,0,2,Western Pacific,0.0,0.0,0
China,22.1667,113.55,2020-01-22,1,0,0,1,Western Pacific,0.0,0.0,0
China,37.2692,106.1655,2020-01-22,1,0,0,1,Western Pacific,0.0,0.0,0
China,36.3427,118.1498,2020-01-22,2,0,0,2,Western Pacific,0.0,0.0,0
China,31.202,121.4491,2020-01-22,9,0,0,9,Western Pacific,0.0,0.0,0
China,37.5777,112.2922,2020-01-22,1,0,0,1,Western Pacific,0.0,0.0,0
China,30.6171,102.7103,2020-01-22,5,0,0,5,Western Pacific,0.0,0.0,0
China,39.3054,117.323,2020-01-22,4,0,0,4,Western Pacific,0.0,0.0,0
China,24.974,101.487,2020-01-22,1,0,0,1,Western Pacific,0.0,0.0,0
China,29.1832,120.0934,2020-01-22,10,0,0,10,Western Pacific,0.0,0.0,0
Japan,36.204824,138.252924,2020-01-22,2,0,0,2,Western Pacific,0.0,0.0,0
South Korea,35.90775700000001,127.766922,2020-01-22,1,0,0,1,Western Pacific,0.0,0.0,0
Taiwan*,23.7,121.0,2020-01-22,1,0,0,1,Western Pacific,0.0,0.0,0
Thailand,15.870032,100.992541,2020-01-22,2,0,0,2,South-East Asia,0.0,0.0,0
US,40.0,-100.0,2020-01-22,1,0,0,1,Americas,0.0,0.0,0
China,31.8257,117.2264,2020-01-23,9,0,0,9,Western Pacific,0.0,0.0,1
China,40.1824,116.4142,2020-01-23,22,0,0,22,Western Pacific,0.0,0.0,1
China,30.0572,107.874,2020-01-23,9,0,0,9,Western Pacific,0.0,0.0,1
China,26.0789,117.9874,2020-01-23,5,0,0,5,Western Pacific,0.0,0.0,1
China,35.7518,104.2861,2020-01-23,2,0,0,2,Western Pacific,0.0,0.0,1
China,23.3417,113.4244,2020-01-23,32,0,2,30,Western Pacific,0.0,6.25,1
China,23.8298,108.7881,2020-01-23,5,0,0,5,Western Pacific,0.0,0.0,1
China,26.8154,106.8748,2020-01-23,3,0,0,3,Western Pacific,0.0,0.0,1
China,19.1959,109.7453,2020-01-23,5,0,0,5,Western Pacific,0.0,0.0,1
China,39.549,116.1306,2020-01-23,1,1,0,0,Western Pacific,100.0,0.0,1
China,47.862,127.7615,2020-01-23,2,0,0,2,Western Pacific,0.0,0.0,1
China,37.8957,114.9042,2020-01-23,5,0,0,5,Western Pacific,0.0,0.0,1
China,22.3,114.2,2020-01-23,2,0,0,2,Western Pacific,0.0,0.0,1
China,30.9756,112.2707,2020-01-23,444,17,28,399,Western Pacific,3.8288288288288284,6.306306306306306,1
